Dato;Type;Beskrivelse;Beløp
27.02.2026;Varekjøp;="CRV*8640 KJITA 18 KRIS CRV*";-42
26.02.2026;Varekjøp;="CRV*8640 KJITA 18 KRIS CRV*";-42
25.02.2026;Varekjøp;="CRV*8640 KJITA 18 KRIS CRV*";-50,16
25.02.2026;Varekjøp;="ANTHROPIC ANTHROPIC.COM";-122,48
24.02.2026;Varekjøp;="SAS AIRLINE 1179448683931 FORNEBU";-2109
24.02.2026;Varekjøp;="WIDEROE     7019448683933 BODO";-3292
24.02.2026;Varekjøp;="CRV*8640 KJITA 18 KRIS CRV*";-39,93
22.02.2026;Varekjøp;="CRV*Voi NO Oslo NOR CRV*";-29
20.02.2026;Varekjøp;="CRV*APPLECOMBILL CORK CRV*";-79
20.02.2026;Varekjøp;="CRV*GOOGLE *YouTubePre CRV*";-99
20.02.2026;Varekjøp;="CRV*8640 KJITA 18 KRIS CRV*";-42
20.02.2026;Varekjøp;="CRV*SKANDINAVISK TR KR CRV*";-1860
19.02.2026;Varekjøp;="help.hbomax.com Stockholm";-94,5
19.02.2026;Varekjøp;="CRV*8640 KJITA 18 KRIS CRV*";-59
18.02.2026;Varekjøp;="CRV*8640 KJITA 18 KRIS CRV*";-42
16.02.2026;Varekjøp;="Ekstra";1500
16.02.2026;Varekjøp;="CRV*8640 KJITA 18 KRIS CRV*";-59
16.02.2026;Varekjøp;="Ekstra kost for ting for dyrlege etc";4000
15.02.2026;Varekjøp;="HTSUSHI.WINORDER.NO KRISTIANSAND";-629
14.02.2026;Varekjøp;="Vipps*Mercdo Oslo";-189
14.02.2026;Varekjøp;="CRV*PLANTEHALLEN KR KR CRV*";-144,9
13.02.2026;Varekjøp;="SPOND* DAVIS ASARE SEM OSLO";-200
12.02.2026;Varekjøp;="CRV*SKANDINAVISK TR KR CRV*";-1860
11.02.2026;Varekjøp;="Klarna Gymgrossisten Stockholm";-936,2
11.02.2026;Varekjøp;="CRV*8640 KJITA 18 KRIS CRV*";-59
09.02.2026;Varekjøp;="CRV*8640 KJITA 18 KRIS CRV*";-42
04.02.2026;Varekjøp;="CRV*8640 KJITA 18 KRIS CRV*";-59
01.02.2026;Varekjøp;="Microsoft*Microsoft 365 B msbill.info";-15
